trial_index,regularization,class_weight_balanced,split_index,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score,optimization_success,mean_gate_metadata,mean_gate_uni2,mean_gate_virchow2,mean_gate_prism2
1,0.1,True,14,2,4,0.8563039496735148,0.4571428571428572,0.6567234034081859,True,0.04550931,0.2550744,0.04458514,0.65483123
2,1.0,False,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.048899263,0.24261901,0.049322482,0.6591593
2,1.0,False,1,0,1,0.8861218129696391,0.6119047619047618,0.7490132874372004,True,0.049227875,0.24745189,0.049348988,0.65397125
2,1.0,False,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.049332086,0.24889746,0.049384,0.65238637
2,1.0,False,3,0,3,0.8451481851481851,0.4404761904761905,0.6428121878121879,True,0.04892342,0.23991702,0.048984088,0.66217554
2,1.0,False,4,0,4,0.8829922794596706,0.511904761904762,0.6974485206822163,True,0.049029134,0.2373569,0.04843698,0.6651769
2,1.0,False,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049123254,0.24204285,0.049336556,0.65949744
2,1.0,False,6,1,1,0.9255399491812536,0.7452380952380953,0.8353890222096745,True,0.04913557,0.24285606,0.04942026,0.6585881
2,1.0,False,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.049075246,0.24224664,0.049059544,0.6596185
2,1.0,False,8,1,3,0.8790596903096903,0.4523809523809524,0.6657203213453213,True,0.049077753,0.24173915,0.049107492,0.66007555
2,1.0,False,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.04910589,0.24287513,0.048927195,0.6590918
2,1.0,False,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.049407527,0.2487317,0.0495295,0.6523313
2,1.0,False,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.049416132,0.24415159,0.04884092,0.65759134
2,1.0,False,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.04941821,0.24582992,0.04954308,0.6552089
2,1.0,False,13,2,3,0.8413611388611388,0.40476190476190477,0.6230615218115219,True,0.049083702,0.24528453,0.04938253,0.6562491
2,1.0,False,14,2,4,0.8717220098741837,0.5047619047619049,0.6882419573180443,True,0.04937441,0.24742281,0.049486093,0.6537167
3,1.0,True,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.049082987,0.24375804,0.049348865,0.6578101
3,1.0,True,1,0,1,0.8861218129696391,0.6119047619047618,0.7490132874372004,True,0.049555715,0.2507433,0.049365032,0.6503359
3,1.0,True,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.04956645,0.2507269,0.04938065,0.65032595
3,1.0,True,3,0,3,0.8451481851481851,0.4404761904761905,0.6428121878121879,True,0.048902426,0.24017142,0.0488832,0.6620429
3,1.0,True,4,0,4,0.8829922794596706,0.511904761904762,0.6974485206822163,True,0.0491493,0.23672748,0.04829223,0.66583097
3,1.0,True,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049307942,0.24350904,0.049395368,0.6577877
3,1.0,True,6,1,1,0.9255399491812536,0.7452380952380953,0.8353890222096745,True,0.049184494,0.24228978,0.049290415,0.65923536
3,1.0,True,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.04936382,0.24479744,0.04914678,0.65669197
3,1.0,True,8,1,3,0.8790596903096902,0.4523809523809524,0.6657203213453213,True,0.049243756,0.2438144,0.049206097,0.6577357
3,1.0,True,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.049337678,0.24486525,0.048951697,0.6568454
3,1.0,True,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.049729444,0.25075758,0.049574446,0.6499386
3,1.0,True,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.049691018,0.24684323,0.048941437,0.65452427
3,1.0,True,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.04961392,0.24872302,0.049631473,0.65203154
3,1.0,True,13,2,3,0.8413611388611388,0.40476190476190477,0.6230615218115219,True,0.049136292,0.24653043,0.049304485,0.6550288
3,1.0,True,14,2,4,0.8732101051122791,0.5047619047619049,0.688986004937092,True,0.04955688,0.25009075,0.049504,0.6508484
4,10.0,False,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.04988517,0.24919957,0.049928296,0.650987
4,10.0,False,1,0,1,0.8872040640518902,0.6119047619047618,0.749554412978326,True,0.049920615,0.24968944,0.049929347,0.65046066
4,10.0,False,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.049931042,0.2498736,0.049936205,0.65025914
4,10.0,False,3,0,3,0.8432542457542459,0.4404761904761905,0.6418652181152182,True,0.049887244,0.24886952,0.049892966,0.6513502
4,10.0,False,4,0,4,0.8876442941116853,0.511904761904762,0.6997745280082237,True,0.049899023,0.24861129,0.04983459,0.65165514
4,10.0,False,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049908955,0.24914646,0.049930282,0.65101427
4,10.0,False,6,1,1,0.9253799642386599,0.7452380952380953,0.8353090297383776,True,0.04991019,0.24923326,0.04993886,0.6509177
4,10.0,False,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.04990373,0.24916363,0.049900938,0.6510317
4,10.0,False,8,1,3,0.8771549284049284,0.4523809523809524,0.6647679403929404,True,0.04990367,0.2490958,0.049905416,0.6510951
4,10.0,False,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.04990645,0.24921715,0.04988637,0.65099
4,10.0,False,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.04993928,0.24986272,0.04995159,0.6502464
4,10.0,False,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.049938302,0.24935639,0.049877524,0.6508278
4,10.0,False,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.049939394,0.2495462,0.049951073,0.6505633
4,10.0,False,13,2,3,0.8398730436230436,0.40476190476190477,0.6223174741924742,True,0.049905073,0.24949047,0.049935345,0.65066904
4,10.0,False,14,2,4,0.8717220098741837,0.5047619047619049,0.6882419573180443,True,0.04993594,0.2497083,0.049947564,0.65040827
5,10.0,True,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.04990422,0.24932176,0.04993126,0.6508427
5,10.0,True,1,0,1,0.8872040640518902,0.6119047619047618,0.749554412978326,True,0.04995481,0.25004208,0.049931925,0.6500711
5,10.0,True,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.049955368,0.25006726,0.04993638,0.65004104
5,10.0,True,3,0,3,0.8432542457542459,0.4404761904761905,0.6418652181152182,True,0.04988441,0.24886762,0.04988162,0.65136635
5,10.0,True,4,0,4,0.8876442941116853,0.511904761904762,0.6997745280082237,True,0.04991057,0.24852692,0.0498179,0.65174466
5,10.0,True,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049928106,0.24930502,0.04993666,0.6508304
5,10.0,True,6,1,1,0.9253799642386599,0.7452380952380953,0.8353090297383776,True,0.049914785,0.24916504,0.04992507,0.65099514
5,10.0,True,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.04993376,0.24943995,0.0499103,0.65071595
5,10.0,True,8,1,3,0.8771549284049284,0.4523809523809524,0.6647679403929404,True,0.049920414,0.2493178,0.049915243,0.6508466
5,10.0,True,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.04992989,0.24942437,0.04988822,0.6507576
5,10.0,True,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.04997253,0.25007534,0.049956895,0.6499952
5,10.0,True,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.049966402,0.24963363,0.049887422,0.6505124
5,10.0,True,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.04996007,0.24985954,0.04996115,0.65021926
5,10.0,True,13,2,3,0.8398730436230436,0.40476190476190477,0.6223174741924742,True,0.049910296,0.249622,0.049927484,0.65054023
5,10.0,True,14,2,4,0.8717220098741837,0.5047619047619049,0.6882419573180443,True,0.049956016,0.24998526,0.049951814,0.6501069
6,100.0,False,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.049988467,0.24991925,0.049992785,0.65009946
6,100.0,False,1,0,1,0.8872040640518902,0.6119047619047618,0.749554412978326,True,0.049992044,0.24996829,0.04999287,0.6500468
6,100.0,False,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.04999308,0.24998717,0.049993597,0.65002614
6,100.0,False,3,0,3,0.8432542457542459,0.4404761904761905,0.6418652181152182,True,0.049988683,0.24988556,0.04998925,0.65013653
6,100.0,False,4,0,4,0.8876442941116853,0.511904761904762,0.6997745280082237,True,0.049989868,0.24985972,0.04998337,0.650167
6,100.0,False,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049990863,0.24991402,0.049992997,0.65010214
6,100.0,False,6,1,1,0.9253799642386599,0.7166666666666667,0.8210233154526633,True,0.04999098,0.24992275,0.04999385,0.6500925
6,100.0,False,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.049990334,0.24991567,0.04999004,0.650104
6,100.0,False,8,1,3,0.8771549284049284,0.4523809523809524,0.6647679403929404,True,0.04999033,0.2499087,0.049990486,0.6501104
6,100.0,False,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.049990606,0.24992092,0.049988568,0.65010005
6,100.0,False,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.04999391,0.24998614,0.049995147,0.65002483
6,100.0,False,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.0499938,0.24993499,0.049987685,0.6500835
6,100.0,False,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.049993914,0.2499542,0.04999507,0.6500568
6,100.0,False,13,2,3,0.8426202963702963,0.40476190476190477,0.6236911005661006,True,0.049990475,0.24994864,0.049993508,0.6500674
6,100.0,False,14,2,4,0.8717220098741837,0.5047619047619049,0.6882419573180443,True,0.04999358,0.24997044,0.049994744,0.6500412
7,100.0,True,0,0,0,0.7811568325854041,0.39999999999999997,0.590578416292702,True,0.049990382,0.24993156,0.049993094,0.6500849
