representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_concat,5,0.01,balanced,0,3,0.8075720113220113,0.38095238095238093,0.5942621961371961
early_concat,5,0.01,balanced,0,4,0.8773836308618916,0.4642857142857143,0.670834672573803
early_concat,5,0.01,balanced,1,0,0.8389967968539397,0.41632653061224495,0.6276616637330923
early_concat,5,0.01,balanced,1,1,0.857014633916808,0.5214285714285715,0.6892216026726897
early_concat,5,0.01,balanced,1,2,0.8644242351851047,0.5476190476190477,0.7060216414020761
early_concat,5,0.01,balanced,1,3,0.8463515651015652,0.4523809523809524,0.6493662587412588
early_concat,5,0.01,balanced,1,4,0.8593069430569431,0.43809523809523815,0.6487010905760906
early_concat,5,0.01,balanced,2,0,0.8727092219949361,0.567687074829932,0.720198148412434
early_concat,5,0.01,balanced,2,1,0.8930193900302597,0.5333333333333333,0.7131763616817965
early_concat,5,0.01,balanced,2,2,0.8761218491653275,0.45238095238095244,0.6642514007731399
early_concat,5,0.01,balanced,2,3,0.7901390276390277,0.36904761904761907,0.5795933233433234
early_concat,5,0.01,balanced,2,4,0.8565643957491782,0.5928571428571429,0.7247107693031605
early_concat,6,0.1,none,0,0,0.7376563119420262,0.37142857142857144,0.5545424416852989
early_concat,6,0.1,none,0,1,0.847764337112163,0.44523809523809527,0.6465012161751291
early_concat,6,0.1,none,0,2,0.8762280111193155,0.5523809523809524,0.714304481750134
early_concat,6,0.1,none,0,3,0.7866966366966366,0.38095238095238093,0.5838245088245088
early_concat,6,0.1,none,0,4,0.8688717260999869,0.42857142857142855,0.6487215773357077
early_concat,6,0.1,none,1,0,0.8297110825682255,0.3448979591836735,0.5873045208759495
early_concat,6,0.1,none,1,1,0.8334975531714662,0.5452380952380952,0.6893678242047807
early_concat,6,0.1,none,1,2,0.8593694168150691,0.5476190476190477,0.7034942322170583
early_concat,6,0.1,none,1,3,0.8344143356643355,0.4523809523809524,0.643397644022644
early_concat,6,0.1,none,1,4,0.8514159572311746,0.46190476190476193,0.6566603595679683
early_concat,6,0.1,none,2,0,0.8579473172330314,0.567687074829932,0.7128171960314817
early_concat,6,0.1,none,2,1,0.8805024685459467,0.6404761904761903,0.7604893295110685
early_concat,6,0.1,none,2,2,0.8683254245754245,0.45238095238095244,0.6603531884781885
early_concat,6,0.1,none,2,3,0.7783154345654344,0.40476190476190477,0.5915386696636695
early_concat,6,0.1,none,2,4,0.8569780038801776,0.6166666666666666,0.7368223352734221
early_concat,7,0.1,balanced,0,0,0.7372065764922908,0.3153061224489796,0.5262563494706352
early_concat,7,0.1,balanced,0,1,0.8540783129913565,0.5166666666666667,0.6853724898290117
early_concat,7,0.1,balanced,0,2,0.8729812578725623,0.5523809523809524,0.7126811051267574
early_concat,7,0.1,balanced,0,3,0.7852085414585414,0.38095238095238093,0.5830804612054612
early_concat,7,0.1,balanced,0,4,0.8669669641952249,0.42857142857142855,0.6477691963833268
early_concat,7,0.1,balanced,1,0,0.8325929625929627,0.32448979591836735,0.5785413792556651
early_concat,7,0.1,balanced,1,1,0.8307780444193487,0.5214285714285715,0.67610330792396
early_concat,7,0.1,balanced,1,2,0.8567990704947227,0.5,0.6783995352473613
