representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
uni2,1,0.0001,balanced,2,0,0.8102465523894095,0.3534013605442177,0.5818239564668136
uni2,1,0.0001,balanced,2,1,0.8071685379837554,0.32142857142857145,0.5642985547061634
uni2,1,0.0001,balanced,2,2,0.735674651435521,0.2857142857142857,0.5106944685749033
uni2,1,0.0001,balanced,2,3,0.8015563603063602,0.4761904761904762,0.6388734182484183
uni2,1,0.0001,balanced,2,4,0.8235250256989388,0.42857142857142855,0.6260482271351837
uni2,2,0.001,none,0,0,0.7752997795854938,0.2928571428571428,0.5340784612213183
uni2,2,0.001,none,0,1,0.7931925321055756,0.41666666666666663,0.6049295993861211
uni2,2,0.001,none,0,2,0.8093784114436289,0.4214285714285714,0.6154034914361002
uni2,2,0.001,none,0,3,0.8527047952047951,0.48809523809523814,0.6704000166500166
uni2,2,0.001,none,0,4,0.8183228365837062,0.35000000000000003,0.5841614182918531
uni2,2,0.001,none,1,0,0.8328662342948058,0.34285714285714286,0.5878616885759743
uni2,2,0.001,none,1,1,0.8510973084886129,0.45476190476190476,0.6529296066252588
uni2,2,0.001,none,1,2,0.8662227446466577,0.38571428571428573,0.6259685151804717
uni2,2,0.001,none,1,3,0.8086713286713286,0.33333333333333337,0.571002331002331
uni2,2,0.001,none,1,4,0.8103068851438417,0.4261904761904762,0.618248680667159
uni2,2,0.001,none,2,0,0.8215425315425314,0.33435374149659863,0.577948136519565
uni2,2,0.001,none,2,1,0.8259223204331899,0.31428571428571433,0.5701040173594522
uni2,2,0.001,none,2,2,0.7966628661193879,0.3333333333333333,0.5649980997263606
uni2,2,0.001,none,2,3,0.8413923576423575,0.45238095238095244,0.646886655011655
uni2,2,0.001,none,2,4,0.8319449572166963,0.48095238095238096,0.6564486690845386
uni2,3,0.001,balanced,0,0,0.7756762549619693,0.3547619047619048,0.5652190798619371
uni2,3,0.001,balanced,0,1,0.8050499862456384,0.511904761904762,0.6584773740752001
uni2,3,0.001,balanced,0,2,0.7887180935007023,0.39285714285714285,0.5907876181789226
uni2,3,0.001,balanced,0,3,0.852152847152847,0.49999999999999994,0.6760764235764235
uni2,3,0.001,balanced,0,4,0.8230360219490656,0.38095238095238093,0.6019942014507232
uni2,3,0.001,balanced,1,0,0.8373275930418788,0.3639455782312925,0.6006365856365856
uni2,3,0.001,balanced,1,1,0.8516600971492275,0.44523809523809527,0.6484490961936614
uni2,3,0.001,balanced,1,2,0.8619245609463,0.46904761904761905,0.6654860899969595
uni2,3,0.001,balanced,1,3,0.8021886446886447,0.36904761904761907,0.5856181318681319
