representation,trial_index,c_value,class_weight,fold_count,macro_auroc_mean,macro_auroc_std,balanced_accuracy_mean,balanced_accuracy_std,composite_mean,composite_std,composite_sem,selection_score
prism2,2,0.001,none,15,0.8691323933523727,0.03954349886792122,0.5044444444444445,0.10377108235796548,0.6867884188984086,0.06793145220840095,0.01753982553912146,0.6780185061288478
prism2,1,0.0001,balanced,15,0.864839640039433,0.03521838049599884,0.5043310657596373,0.09612890920398952,0.6845853528995351,0.06205752510281327,0.016023184082002966,0.6765737608585337
prism2,3,0.001,balanced,15,0.8703913250693789,0.04088898962587856,0.4915646258503402,0.10877899872305898,0.6809779754598594,0.07138367386023028,0.018431185336784905,0.6717623827914669
prism2,4,0.01,none,15,0.8578417904080431,0.0465058822327441,0.4686394557823129,0.1081935310413378,0.663240623095178,0.07584060563588058,0.019581960172936654,0.6534496430087097
prism2,5,0.01,balanced,15,0.8595108427918986,0.046541780404650776,0.46575963718820873,0.10110492963525974,0.6626352399900536,0.07198919582893731,0.018587530436822576,0.6533414747716423
prism2,6,0.1,none,15,0.8403246419442072,0.04847998081339114,0.4706802721088436,0.10095970860798315,0.6555024570265253,0.07225936900450605,0.018657288850793888,0.6461738126011284
prism2,7,0.1,balanced,15,0.8413858016264848,0.049310535573930336,0.4648072562358277,0.0970715734608267,0.6530965289311562,0.07027430847071502,0.018144748424888137,0.6440241547187121
prism2,8,1.0,none,15,0.8291878861878862,0.052819800488169553,0.4708390022675737,0.11495013337046642,0.6500134442277299,0.07907954820240175,0.020418251547567243,0.6398043184539463
prism2,9,1.0,balanced,15,0.8295851783367312,0.05436099659229093,0.4684580498866213,0.10575523815099488,0.6490216141116762,0.07588914972587367,0.019594494203076657,0.639224367010138
prism2,11,10.0,balanced,15,0.8234617692138396,0.05337777020278591,0.46718820861678007,0.10360294932597075,0.6453249889153096,0.07184806267230641,0.018551090012473966,0.6360494439090727
prism2,10,10.0,none,15,0.8221565249412041,0.054732481962841015,0.46956916099773244,0.11193716589239505,0.6458628429694683,0.07765466013298658,0.02005034703003027,0.6358376694544532
prism2,0,0.0001,none,15,0.863533605494268,0.03406183581177412,0.41746031746031753,0.07634267677775028,0.6404969614772928,0.04493770389619976,0.011602865253785455,0.6346955288504001
prism2_metadata,2,0.001,none,15,0.8692104360825892,0.03999707132767281,0.5044444444444445,0.10377108235796548,0.6868274402635168,0.06797161617289046,0.017550195830160497,0.6780523423484366
prism2_metadata,1,0.0001,balanced,15,0.8649950124448054,0.035284252245893453,0.5067120181405895,0.09531550257928749,0.6858535152926976,0.06156716150374018,0.015896572745149874,0.6779052289201226
prism2_metadata,3,0.001,balanced,15,0.8699928527687327,0.04086487793390799,0.4915646258503402,0.10877899872305898,0.6807787393095365,0.07130788949798109,0.018411617898591966,0.6715729303602405
prism2_metadata,5,0.01,balanced,15,0.8596169588980147,0.04587659969875885,0.46712018140589584,0.10023150274521508,0.6633685701519553,0.07132897270874382,0.01841706156020321,0.6541600393718536
prism2_metadata,4,0.01,none,15,0.8578456006075055,0.04602270634286871,0.46705215419501134,0.10666683297455683,0.6624488774012585,0.07503476057937156,0.019373891874037787,0.6527619314642396
prism2_metadata,6,0.1,none,15,0.8401893147110541,0.04962978337700733,0.47204081632653067,0.10082800471124065,0.6561150655187922,0.07258176885078224,0.018740532133157056,0.6467447994522136
prism2_metadata,7,0.1,balanced,15,0.8408151512623561,0.05042776599348744,0.46560090702947854,0.09690696174350849,0.6532080291459174,0.07062787909780739,0.018236039968250597,0.644090009161792
prism2_metadata,8,1.0,none,15,0.8300672726744156,0.05247678709017895,0.47004535147392296,0.10531894007300695,0.6500563120741693,0.07451745209487037,0.019240323397682797,0.6404361503753279
prism2_metadata,9,1.0,balanced,15,0.8302400284900284,0.05451449295996141,0.46925170068027217,0.11010736736910537,0.6497458645851503,0.07750301056430667,0.020011191279766482,0.639740268945267
prism2_metadata,10,10.0,none,15,0.8231650852215036,0.05438504994506386,0.47306122448979593,0.10754649622994883,0.6481131548556498,0.07538216773952167,0.01946359201707876,0.6383813588471104
prism2_metadata,11,10.0,balanced,15,0.824043946698191,0.05378510904018825,0.4648072562358277,0.10425860595595648,0.6444256014670093,0.07352584113716275,0.018984290549341566,0.6349334561923385
prism2_metadata,0,0.0001,none,15,0.8635606617713244,0.03407846751966807,0.41746031746031753,0.07634267677775028,0.6405104896158209,0.04494111214585197,0.011603745260061636,0.6347086169857901
